Latitude,Longitude,Price,Type,Food,Venue,Sub Category
40.8472079,-73.6218004,248†Ä,,,,
40.8472079,-73.6218004,301†Ä,,,,
40.8472079,-73.6218004,298†Ä,,,,
40.760025,-73.984217,239†Ä,,,,
40.759647,-73.98629436,141†Ä,,,,
40.758991,-73.9837404,199†Ä,,,,
40.75812025,-73.98343857,214†Ä,,,,
40.75778325,-73.98377644,179†Ä,,,,
40.7583844,-73.9832932,159†Ä,,,,
40.757572,-73.98402229,202†Ä,,,,
36.885671,-76.298338,179†Ä,,,,
40.75714965,-73.98419942,179†Ä,,,,
51.8472079,-73.6218004,129†Ä,,,,
40.7574744,-73.98378199,152†Ä,,,,
40.7605187,-73.98645679,139†Ä,,,,
40.7570832,-73.98479235,179†Ä,,,,
40.7568738,-73.98439673,242†Ä,,,,
40.75720905,-73.98318533,159†Ä,,,,
40.7564397,-73.98462609,593†Ä,,,,
40.7563913,-73.9843423,270†Ä,,,,
40.75679575,-73.98412431,580†Ä,,,,
39.3401995,-76.6355533,367†Ä,,,,
40.76097695,-73.98552793,199†Ä,,,,
40.7611635,-73.98598053,136†Ä,,,,
53.7822023,-73.681701,144†Ä,,,,
40.7667417,-73.9027565,209†Ä,,,,
41.423716,-81.719326,134†Ä,,,,
51.5527449,0.0582952,219†Ä,,,,
30.3748008,-81.6590241,403†Ä,,,,
32.0506507,-81.116572,219†Ä,,,,
42.8416116,-72.5659352,229†Ä,,,,
40.75721265,-73.98125046,186†Ä,,,,
39.3401995,-76.6355533,199†Ä,,,,
40.7565679,-73.988685,152†Ä,,,,
40.763512,-73.981701,180†Ä,,,,
40.7556116,-73.98860884,172†Ä,,,,
32.0470444,-81.1062123,143†Ä,,,,
40.7624636,-73.97809398,190†Ä,,,,
40.7558033,-73.99181235,254†Ä,,,,
40.7564099,-73.99234478,184†Ä,,,,
40.7528779,-73.9837787,344†Ä,,,,
40.7566677,-73.99308975,157†Ä,,,,
40.761953,-73.975513,693†Ä,,,,
40.7563538,-73.99308889,154†Ä,,,,
51.7436119,-73.9934681,179†Ä,,,,
40.7593126,-73.9748883,343†Ä,,,,
36.8792506,-76.28599484,169†Ä,,,,
40.7534756,-73.9938758,199†Ä,,,,
40.7520431,-73.97632438,259†Ä,,,,
40.764541,-73.973037,742†Ä,,,,
42.8416116,-72.5659352,188†Ä,,,,
42.8416116,-72.5659352,144†Ä,,,,
40.7563456,-73.97138185,229†Ä,,,,
40.76537,-73.971862,524†Ä,,,,
40.748149,-73.9875261,186†Ä,,,,
40.7493147,-73.9765665,118†Ä,,,,
40.7446886,-73.9795915,145†Ä,,,,
44.803356,-69.881523,169†Ä,,,,
40.74589495,-73.99264355,145†Ä,,,,
40.7592929,-73.926453,159†Ä,,,,
40.75996,-73.984142,249†Ä,,,,
40.757572,-73.98402229,199†Ä,,,,
37.5146643,-77.484209,259†Ä,,,,
41.777031,-74.301768,144†Ä,,,,
39.3371732,-76.6297207,179†Ä,,,,
40.7643995,-73.98273797,170†Ä,,,,
